"","x"
"gefühl",0.380319070428961
"fühlte",0.341150424666908
"gefühle",0.338974090622442
"lage",0.338928470796603
"ach",0.317055106066095
"eilte",0.309782769123429
"herzen",0.306758443022179
"einst",0.305440835111165
"tränen",0.303393309986717
"indeß",0.300154302352105
"schmerz",0.296010948758201
"wesen",0.291041071260851
"brust",0.288730561258034
"o",0.286264407143528
"stille",0.285781373693462
"schicksal",0.28552912289176
"zukunft",0.275460558977042
"entgegen",0.275406888593702
"geliebten",0.266532490708315
"herz",0.262045646661031
"wunsch",0.260502623139986
"ward",0.259187698748138
"meines",0.257709079687102
"herzens",0.254150733271612
"erwiederte",0.253246387312321
"bild",0.250933193790337
"ton",0.250697044103638
"wünsche",0.249465308805968
"brief",0.244275382736921
"verhältniß",0.242595499738357
"freude",0.241591863569885
"blicke",0.235572730078225
"andenken",0.234963571227307
"empfindungen",0.234386614606395
"stimmung",0.233423231225429
"tief",0.232822122932013
"stimme",0.232465214882797
"sinn",0.231735297669364
"einsamkeit",0.23149378094433
"schnell",0.228472138362248
"ewig",0.226682231077835
"stillen",0.220939500060379
"seele",0.219525285459351
"fühle",0.216981309289002
"pflicht",0.215792510298005
"nie",0.215572461726308
"sank",0.215231654792094
"unwillkührlich",0.213946249111084
"auge",0.210589166633123
"geliebte",0.21032886527392
"eindruck",0.210178588200566
"gemüt",0.209156167397926
"leiden",0.209081028861249
"betragen",0.208377946839485
"sehnsucht",0.20601108293416
"still",0.206008399414993
"verbindung",0.205391190006575
"anblick",0.205345570180735
"rührung",0.204543197949791
"kind",0.204320465858927
"treue",0.204202391015578
"achtung",0.203281943941285
"unsre",0.203206805404608
"gerührt",0.202922352372902
"ihres",0.199817520696642
"blick",0.199224462960727
"teilnahme",0.198634088743979
"stunden",0.198591152437306
"schien",0.19738356881214
"innern",0.197313797313797
"güte",0.196428235988676
"erscheinung",0.195896899193602
"dasein",0.194364609749225
"gegenwart",0.194101624870856
"briefe",0.193009432569872
"sanft",0.192440526506461
"fühlen",0.192389539642287
"blos",0.191240993438796
"verhältnisse",0.191002160232929
"drückte",0.190841149082907
"lebens",0.190497658629527
"freuden",0.189711387513585
"ruhe",0.188152262877538
"innig",0.187137892632398
"geschöpf",0.186856123119859
"bewegung",0.186802452736519
"tagen",0.185994713467241
"erinnerung",0.185667324128863
"neue",0.184228957855331
"fand",0.183923036670289
"trennung",0.182487353915925
"bewegt",0.180643776248172
"dachte",0.17944155966134
"gegend",0.1791517395913
"schweigend",0.178311798092018
"mädchen",0.176749989936803
