"","x"
"brief",0.370320296153227
"gefühl",0.318990135890184
"mädchen",0.300082775746706
"meines",0.291343036490308
"einst",0.287493964268469
"herzen",0.285240624497022
"o",0.279667057552137
"herzens",0.277777011335679
"freundin",0.272594329861351
"herz",0.268687774482077
"ton",0.268496930399393
"tränen",0.265546894759835
"brust",0.259462877376929
"freude",0.256979604975742
"briefe",0.240939504725116
"schmerz",0.238345864661654
"schwester",0.238083741463751
"entgegen",0.237600882941298
"mannes",0.23483709273183
"zukunft",0.233951852107333
"vaters",0.232397507530294
"blos",0.231372008001656
"ruhe",0.230045296728059
"auge",0.228486353498425
"eilte",0.225253500724288
"kind",0.224729254328482
"mutter",0.221128509346761
"seele",0.220877882780345
"fühlte",0.219266055045872
"güte",0.219259157066979
"lage",0.213207330252236
"betragen",0.213113057874043
"arme",0.211416155066565
"zimmer",0.210323975075303
"stille",0.209795130026902
"ihres",0.208716745993424
"ewig",0.208210894207997
"oft",0.201814168448644
"familie",0.19901128969212
"meinem",0.198797452346462
"freundlich",0.19584281805431
"ach",0.195109332965441
"sank",0.19481042054678
"vater",0.194769032673427
"bild",0.193725138534409
"achtung",0.193463015336506
"liebe",0.192375433997839
"madame",0.190614150054034
"tochter",0.190524476328436
"ward",0.189632337725047
"andenken",0.185884435860293
"treue",0.18539238003265
"kinder",0.184472649513693
"teil",0.184355383872525
"fühle",0.183605803499575
"meiner",0.182837828516245
"umgang",0.182072152859212
"lieben",0.180786829458969
"fühlen",0.179954473339312
"gestalt",0.176965349152698
"anblick",0.175857073877354
"trost",0.175640937205399
"teure",0.175424800533444
"zärtlichkeit",0.174532661930054
"wesen",0.174376307741832
"seite",0.173787680209699
"erwiederte",0.173428985307305
"edle",0.172628819755812
"gott",0.172571336598377
"oheim",0.172210342369686
"aufenthalt",0.172148260559656
"stillen",0.170552528109264
"unwillkührlich",0.170327194132119
"hin",0.169356878434619
"pflicht",0.169103952541905
"verhältniß",0.168975190269251
"tugend",0.167887608930583
"nachricht",0.167482927502242
"freundinn",0.167319675335127
"tief",0.167259892851395
"weib",0.165894093030742
"weinte",0.165530799475754
"dein",0.16506633556368
"gefühle",0.165038743648111
"welchem",0.164376537674461
"empfindungen",0.164339748453703
"einander",0.164300659906647
"fest",0.16368903911154
"gemüt",0.162704927456255
"züge",0.162523280678761
"weis",0.160853969786852
"kummer",0.160725207514198
"indeß",0.160189464486905
"lebens",0.159844565542296
"froh",0.158943229633717
"geliebten",0.158632820583569
"innig",0.158428180543101
"freuden",0.158405187280127
"todt",0.156220827297602
"küßte",0.156133452898301
"unsre",0.155519532776896
"fremde",0.15539306983054
"gegenwart",0.154648088110184
"deine",0.154291692534088
"abreise",0.15324779839507
"unserm",0.152491320043227
"deines",0.152098135246373
"schonung",0.151957876342232
"darinn",0.151907291163689
"fremd",0.150585178542687
"lies",0.150175898461751
"mariane",0.150100020693937
"jezt",0.149102113080867
"ernst",0.148531880159113
"unsers",0.148265158308616
"geschöpf",0.146057805063117
"wehmut",0.145947437400842
"dahin",0.144692005242464
"rosalia",0.144257432572256
"träne",0.144190752109632
"meinen",0.144135568278494
"loos",0.143710192913476
"liebt",0.143277919569566
"ueberzeugung",0.142910027361983
"mädchens",0.14248925064956
"mut",0.141847738612586
"gedanke",0.141741969602906
"jugend",0.141144144765584
"edlen",0.141070566324067
"tagen",0.140976293945874
"freundschaft",0.140608401738291
"vergangenheit",0.140256604814789
"schweigend",0.140180727046975
"stimme",0.139313881032857
"w",0.139106941666092
"elend",0.138690763606263
"erscheinung",0.138686164953669
"stimmung",0.138559702007312
"seit",0.138198707778621
"amalie",0.138166517210457
"blick",0.137067439240303
"julie",0.136237382446943
"schreiben",0.135802809776735
"wünsche",0.135549883884022
"aufmerksamkeit",0.135317651927985
"verbindung",0.135156699087167
"sorgen",0.13511071256122
"bewegung",0.134496792439815
"indessen",0.134020831896254
"dasein",0.133896668276195
"wert",0.133878273665816
"wunsch",0.133560966636775
"faßte",0.133535674047504
"leiden",0.132951645167966
"armen",0.132852774137178
"traurige",0.132540065760732
"sorge",0.131799682692971
"unsern",0.13127083764457
"armes",0.130981122531098
"edel",0.130981122531098
"vieles",0.13083856430066
"jedes",0.130222344852958
"sanfte",0.12980616679313
"gesicht",0.129562438205606
"busen",0.129440573911844
"ruhig",0.129012899220528
"gang",0.128488652824722
"gerührt",0.128463360235451
"rettung",0.128373686509853
"geliebte",0.127814950219586
"hofnung",0.12756432365317
"junge",0.127472350601274
