"","x"
"bloß",-0.375333091816608
"ebenso",-0.331519274376417
"womit",-0.288309248748809
"nämlich",-0.282864388358894
"worin",-0.274126849951026
"leute",-0.269567550886232
"hab",-0.254690120624187
"ins",-0.250745347448644
"herr",-0.236168471333306
"gar",-0.236077231681627
"erwiderte",-0.235215822029009
"teufel",-0.231869473627715
"worden",-0.22999101021079
"dazu",-0.2273933636571
"herrn",-0.225037233828443
"versetzte",-0.221784808597995
"andere",-0.220971702290384
"damit",-0.218540433925049
"obgleich",-0.213197547263481
"wiewohl",-0.211726978759946
"leser",-0.206343839310872
"davon",-0.206072803875002
"wollt",-0.204846435615666
"gesagt",-0.201814058956916
"dergleichen",-0.199463296166593
"herren",-0.196100846650297
"kurz",-0.195923734385273
"sache",-0.189153215526842
"gerade",-0.186480430436474
"sondern",-0.185052798239612
"oben",-0.183963289457795
"kopf",-0.182457835205088
"drei",-0.182269988863396
"sogar",-0.181376376980773
"sagt",-0.180549853077326
"wäre",-0.177901219659461
"darin",-0.17556655798414
"tat",-0.175190865300755
"dabei",-0.173194327040481
"hätt",-0.172429524077876
"etwa",-0.170913335748501
"antwortete",-0.170738907002643
"zwar",-0.170271974667579
"selber",-0.170170000939232
"wovon",-0.1663057333387
"darüber",-0.165267211421058
"gesetzt",-0.165154503616042
"geheimnis",-0.162948650860739
"nase",-0.162589059292356
"kopfe",-0.161488816433871
"ei",-0.159097800856043
"jedoch",-0.157501106951656
"daran",-0.154117189282024
"meinung",-0.153725395483637
"nachdem",-0.153296032416911
"rede",-0.152912289176025
"darauf",-0.152788847294342
"euch",-0.152496343705135
"worauf",-0.152058930080908
"daher",-0.151436353634156
"geld",-0.150513223040696
"also",-0.150126796280643
"solche",-0.14935930979887
"unten",-0.149235867917187
"ursache",-0.148412027532907
"wein",-0.14732251875109
"indes",-0.145398435508326
"mensch",-0.145105931919119
"habt",-0.143766855854768
"wasser",-0.143206000348858
"sobald",-0.142121858605375
"gewissen",-0.141754216479491
"heißt",-0.141276550067759
"ende",-0.139937474003408
"desto",-0.139687906720874
"herum",-0.13903044452495
"eigenen",-0.138700371667405
"lieber",-0.137635014558091
"person",-0.13728347354721
"mag",-0.136609910236284
"ohren",-0.135120557098579
"übel",-0.134430892672651
"große",-0.134294033195132
"kommt",-0.134073984623435
"guter",-0.133663406190879
"tut",-0.133539964309195
"wozu",-0.132933488977445
"kunst",-0.13292007138161
"viele",-0.131197252076373
"könnt",-0.130923533121335
"z",-0.130864495699661
"besser",-0.129823290262851
"einmal",-0.129785720994512
"hierauf",-0.129404661272793
"hingegen",-0.129088006011083
"rücken",-0.127928725730924
"sag",-0.127783815695904
"vorher",-0.126262260328194
"dafür",-0.12611198325484
"nötig",-0.126031477679829
"gewesen",-0.125969756738987
"zwei",-0.125556494787264
"soviel",-0.125494773846422
"wären",-0.124874880918837
"heraus",-0.124174482416241
"solcher",-0.123186947362772
"ausgenommen",-0.122910544888567
"gehabt",-0.122470447745173
"setzen",-0.121281648754176
"gnaden",-0.121203826698332
"weiß",-0.120339733526547
"miteinander",-0.1200016101115
"daraus",-0.119947939728159
"großen",-0.119574930563941
"euer",-0.119118732305545
"demselben",-0.118686685719653
"bringen",-0.118463953628789
"ungefähr",-0.118310993036268
"entweder",-0.117946034429551
"anderer",-0.117801124394531
"zumal",-0.117712568262019
"weder",-0.117511304324491
"sollt",-0.117339559097801
"hinter",-0.117079257738598
"geringste",-0.117044371989427
"lust",-0.117004119201921
"sechs",-0.116188329375143
"wort",-0.115758966308417
"vermutlich",-0.115619423311731
"ans",-0.115418159374203
"allerdings",-0.115114921708328
"weiter",-0.115082719478324
"begab",-0.114948543519972
"gemacht",-0.114500395819077
"meister",-0.114366219860725
"leib",-0.114301815400717
"vielmehr",-0.113893920487327
"tot",-0.113832199546485
"not",-0.113180104388896
"setzte",-0.113043244911377
"junker",-0.112903701914691
"deswegen",-0.112898334876357
"b",-0.112710488534664
"personen",-0.112093279126246
"bezahlen",-0.112069127453743
"seht",-0.111508271947832
"sachen",-0.111481436756162
"hinauf",-0.111315058567806
"wofern",-0.111068174804439
"inzwischen",-0.110636128218546
"seid",-0.109012599122489
"solchen",-0.108551033825759
"bedenken",-0.10834171933073
"tafel",-0.108312200619893
"anstatt",-0.107987494800682
"trinken",-0.107721826403145
"konnt",-0.107440056890606
"gute",-0.10705631364972
"lachen",-0.106938238806371
"überhaupt",-0.106342497551289
"wenigstens",-0.105714554066202
"falle",-0.105685035355365
"vom",-0.10530934267198
"geringsten",-0.105043674274443
"ferner",-0.104957801661098
"hatt",-0.104898764239424
"sowohl",-0.104879979605254
"dame",-0.104845093856083
"essen",-0.104828992741081
"eher",-0.104724335493566
"stück",-0.10451233747937
"kerl",-0.104474768211032
"getan",-0.104388895597687
"solange",-0.103538220021737
"wer",-0.102709012599122
"reden",-0.101971044828188
"pflegt",-0.10194152611735
"weniger",-0.101885172214842
"großes",-0.101029129600558
"übrigens",-0.100747360088019
"zunge",-0.100264326637953
